SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,capacityFlow,criticalDensity,densityMax,smoothingFactor,vMax,waveSpeed
60,False,152562.219596426,modified-quadratic,1,Auto-Bus-Bike,Road,-100.0,50.0,,0.118,0.15,,,
61,True,30512.4439192852,fixed,1,Walk,Sidewalk,,,,,,,1.35,
62,True,0.0,bottleneck,1,Bus,Road,,50.0,0.4,,,,17.0,
63,True,0.0,fixed,1,Bike,Road,,,,,0.15,,5.0,
64,True,4430.383158015879,fixed,1,Rail,Rail,,,,,,,20.0,
65,False,2702421.6878803447,modified-quadratic,2,Auto-Bus-Bike,Road,-182.0,50.0,,0.085,0.15,,,
66,True,540484.3375760689,fixed,2,Walk,Sidewalk,,,,,,,1.35,
67,True,0.0,bottleneck,2,Bus,Road,,50.0,0.4,,,,17.0,
68,True,0.0,fixed,2,Bike,Road,,,,,0.15,,5.0,
69,True,272245.0284091952,fixed,2,Rail,Rail,,,,,,,20.0,
70,False,3213646.2688503778,bottleneck,3,Auto-Bus-Bike,Road,,50.0,0.344,,,,14.8,
71,True,642729.2537700755,fixed,3,Walk,Sidewalk,,,,,,,1.35,
72,True,0.0,bottleneck,3,Bus,Road,,50.0,0.4,,,,17.0,
73,True,0.0,fixed,3,Bike,Road,,,,,0.15,,5.0,
74,True,109339.97034520622,fixed,3,Rail,Rail,,,,,,,20.0,
75,False,485488.980135308,bottleneck,4,Auto-Bus-Bike,Road,,50.0,0.305,,,,14.5,
76,True,97097.7960270616,fixed,4,Walk,Sidewalk,,,,,,,1.35,
77,True,0.0,bottleneck,4,Bus,Road,,50.0,0.4,,,,17.0,
78,True,0.0,fixed,4,Bike,Road,,,,,0.15,,5.0,
79,True,30298.04920281781,fixed,4,Rail,Rail,,,,,,,20.0,
80,False,16100110.880787082,bottleneck,5,Auto-Bus-Bike,Road,,50.0,0.292,,,,15.5,
81,True,3220022.1761574163,fixed,5,Walk,Sidewalk,,,,,,,1.35,
82,True,0.0,bottleneck,5,Bus,Road,,50.0,0.4,,,,17.0,
83,True,0.0,fixed,5,Bike,Road,,,,,0.15,,5.0,
84,True,249447.21626693403,fixed,5,Rail,Rail,,,,,,,20.0,
85,False,7398837.172656679,bottleneck,6,Auto-Bus-Bike,Road,,50.0,0.325,,,,19.4,
86,True,1479767.434531336,fixed,6,Walk,Sidewalk,,,,,,,1.35,
87,True,0.0,bottleneck,6,Bus,Road,,50.0,0.4,,,,17.0,
88,True,0.0,fixed,6,Bike,Road,,,,,0.15,,5.0,
89,True,37971.5478178298,fixed,6,Rail,Rail,,,,,,,20.0,
