SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,b,capacityFlow,k_jam,smoothingFactor,vMax,waveSpeed
150,False,324723.313880628,modified-quadratic,1,Auto-Bus-Bike,Road,-80.4,50.0,0.13,,0.5,,11.6,
151,True,64944.6627761256,fixed,1,Walk,Sidewalk,,,,,,,1.35,
152,True,0.0,bottleneck,1,Bus,Road,,50.0,,0.4,,,17.0,
153,True,0.0,fixed,1,Bike,Road,,,,,0.15,,5.0,
154,True,5116.939098328798,fixed,1,Rail,Rail,,,,,,,20.0,
155,False,7915176.252545888,modified-quadratic,2,Auto-Bus-Bike,Road,-148.79,50.0,0.1,,0.5,,,
156,True,1583035.2505091776,fixed,2,Walk,Sidewalk,,,,,,,1.35,
157,True,0.0,bottleneck,2,Bus,Road,,50.0,,0.4,,,17.0,
158,True,0.0,fixed,2,Bike,Road,,,,,0.15,,5.0,
159,True,268513.85717812355,fixed,2,Rail,Rail,,,,,,,20.0,
160,False,8422991.396949034,rural,3,Auto-Bus-Bike,Road,-302.29,50.0,0.07,,0.5,,,
161,True,1684598.2793898068,fixed,3,Walk,Sidewalk,,,,,,,1.35,
162,True,0.0,bottleneck,3,Bus,Road,,50.0,,0.4,,,17.0,
163,True,0.0,fixed,3,Bike,Road,,,,,0.15,,5.0,
164,True,95172.74381740965,fixed,3,Rail,Rail,,,,,,,20.0,
165,False,298877.6209316453,rural,4,Auto-Bus-Bike,Road,-195.76,50.0,0.09,,0.5,,,
166,True,59775.52418632906,fixed,4,Walk,Sidewalk,,,,,,,1.35,
167,True,0.0,bottleneck,4,Bus,Road,,50.0,,0.4,,,17.0,
168,True,0.0,fixed,4,Bike,Road,,,,,0.15,,5.0,
169,True,3753.9959293645898,fixed,4,Rail,Rail,,,,,,,20.0,
170,False,13352211.897970596,rural,5,Auto-Bus-Bike,Road,-147.41,50.0,0.11,,0.5,,,
171,True,2670442.3795941197,fixed,5,Walk,Sidewalk,,,,,,,1.35,
172,True,0.0,bottleneck,5,Bus,Road,,50.0,,0.4,,,17.0,
173,True,0.0,fixed,5,Bike,Road,,,,,0.15,,5.0,
174,True,141811.85710765154,fixed,5,Rail,Rail,,,,,,,20.0,
175,False,5763234.14720116,rural,6,Auto-Bus-Bike,Road,-226.65,50.0,0.1,,,,,
176,True,1152646.829440232,fixed,6,Walk,Sidewalk,,,,,,,1.35,
177,True,0.0,bottleneck,6,Bus,Road,,50.0,,0.4,,,17.0,
178,True,0.0,fixed,6,Bike,Road,,,,,0.15,,5.0,
179,True,3661.059469121765,fixed,6,Rail,Rail,,,,,,,20.0,
