Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile
bike,3,385000.0,4161000.0
bike,5,385000.0,4161000.0
bike,2,385000.0,4161000.0
bike,6,385000.0,4161000.0
bike,4,385000.0,4161000.0
bike,1,385000.0,4161000.0
bus,6,516746.47170738794,5753369.06175813
bus,5,529603.486745363,5882348.93465735
bus,4,536421.17435357,5962257.30816434
bus,3,581528.156954439,6529773.17347647
bus,1,532206.539819095,5912792.86850707
bus,2,525588.536719055,5833396.77106041
hv,6,516746.47170738794,5753369.06175813
hv,5,529603.486745363,5882348.93465735
hv,4,536421.17435357,5962257.30816434
hv,3,581528.156954439,6529773.17347647
hv,2,525588.536719055,5833396.77106041
hv,1,532206.539819095,5912792.86850707
