MicrotypeID,LengthNetworkLaneMiles,ModesAllowed,vMax,Type
A_1,52557.8500664019,,,
A_2,122559.662122632,,,
A_3,179823.949253291,,,
A_4,71331.0123803569,,,
A_5,132688.331344463,,,
A_6,32669.7681256368,,,
B_1,41601.08726045,,,
B_2,150815.17725745,,,
B_3,250856.97021681,,,
B_4,82957.459326106,,,
B_5,242438.507956069,,,
B_6,434747.79963949,,,
C_1,4359.3756087,,,
C_2,93441.43365135,,,
C_3,217895.0042912,,,
C_4,75334.75863296,,,
C_5,573067.42131696,,,
C_6,916205.935164502,,,
D_1,619.3265058,,,
D_2,12742.07939247,,,
D_3,28241.778418704,,,
D_4,13275.392055043,,,
D_5,112362.228421008,,,
D_6,381859.2083697,,,
E_1,684.0898973,,,
E_2,6625.4619676093,,,
E_3,13829.862667003,,,
E_4,5557.94896261,,,
E_5,33019.423400805,,,
E_6,148015.6885859,,,
F_1,845.15532562,,,
F_2,14273.692590646,,,
F_3,33412.81503289,,,
F_4,9404.73608863391,,,
F_5,130091.540881113,,,
F_6,189096.562402,,,
